LAST SEEN   TYPE      REASON              OBJECT                          MESSAGE
27m         Warning   FailedScheduling    pod/gateway-df649b778-vbxgh     0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
16m         Warning   FailedScheduling    pod/gateway-67f694d755-t5d9l    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
24m         Normal    Scheduled           pod/gateway-7b56658758-nrglc    Successfully assigned benkz/gateway-7b56658758-nrglc to vm-218-62-tencentos
24m         Warning   FailedScheduling    pod/gateway-7b56658758-nrglc    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
24m         Normal    Scheduled           pod/gateway-7b56658758-7xgqw    Successfully assigned benkz/gateway-7b56658758-7xgqw to vm-218-62-tencentos
24m         Warning   FailedScheduling    pod/gateway-7b56658758-7xgqw    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
24m         Normal    Scheduled           pod/gateway-7b56658758-2jk44    Successfully assigned benkz/gateway-7b56658758-2jk44 to vm-218-62-tencentos
19m         Warning   FailedScheduling    pod/gateway-5db47b46f4-jlzwd    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
19m         Normal    Scheduled           pod/gateway-5db47b46f4-jlzwd    Successfully assigned benkz/gateway-5db47b46f4-jlzwd to vm-218-62-tencentos
24m         Warning   FailedScheduling    pod/gateway-7b56658758-2jk44    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
69s         Warning   FailedScheduling    pod/gateway-94bdcf695-9bt4s     0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
64s         Normal    Scheduled           pod/gateway-94bdcf695-9bt4s     Successfully assigned benkz/gateway-94bdcf695-9bt4s to vm-218-62-tencentos
19m         Warning   FailedScheduling    pod/gateway-5db47b46f4-nzt6v    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
19m         Normal    Scheduled           pod/gateway-5db47b46f4-nzt6v    Successfully assigned benkz/gateway-5db47b46f4-nzt6v to vm-218-62-tencentos
63s         Warning   FailedScheduling    pod/gateway-94bdcf695-ccn2t     0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
9m54s       Normal    Scheduled           pod/gateway-796c94d8cf-tgdtc    Successfully assigned benkz/gateway-796c94d8cf-tgdtc to vm-218-62-tencentos
9m59s       Warning   FailedScheduling    pod/gateway-796c94d8cf-tgdtc    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
58s         Normal    Scheduled           pod/gateway-94bdcf695-ccn2t     Successfully assigned benkz/gateway-94bdcf695-ccn2t to vm-218-62-tencentos
27m         Warning   FailedScheduling    pod/gateway-df649b778-z6lkg     0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
71s         Normal    Scheduled           pod/gateway-94bdcf695-p8pgc     Successfully assigned benkz/gateway-94bdcf695-p8pgc to vm-218-62-tencentos
27m         Warning   FailedScheduling    pod/gateway-df649b778-5k9kg     0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
27m         Normal    Scheduled           pod/gateway-df649b778-5k9kg     Successfully assigned benkz/gateway-df649b778-5k9kg to vm-218-62-tencentos
10m         Normal    Scheduled           pod/gateway-796c94d8cf-k2fft    Successfully assigned benkz/gateway-796c94d8cf-k2fft to vm-218-62-tencentos
10m         Warning   FailedScheduling    pod/gateway-796c94d8cf-k2fft    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
10m         Normal    Scheduled           pod/gateway-796c94d8cf-hgjcg    Successfully assigned benkz/gateway-796c94d8cf-hgjcg to vm-218-62-tencentos
16m         Warning   FailedScheduling    pod/gateway-67f694d755-5ktns    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
16m         Normal    Scheduled           pod/gateway-67f694d755-5ktns    Successfully assigned benkz/gateway-67f694d755-5ktns to vm-218-62-tencentos
10m         Warning   FailedScheduling    pod/gateway-796c94d8cf-hgjcg    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
19m         Normal    Scheduled           pod/gateway-5db47b46f4-84npl    Successfully assigned benkz/gateway-5db47b46f4-84npl to vm-218-62-tencentos
19m         Normal    Scheduled           pod/k6-564856b977-zv6sz         Successfully assigned benkz/k6-564856b977-zv6sz to vm-218-62-tencentos
76s         Warning   FailedScheduling    pod/gateway-94bdcf695-p8pgc     0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
27m         Normal    Scheduled           pod/gateway-df649b778-z6lkg     Successfully assigned benkz/gateway-df649b778-z6lkg to vm-218-62-tencentos
16m         Warning   FailedScheduling    pod/gateway-67f694d755-ccs46    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
16m         Normal    Scheduled           pod/gateway-67f694d755-ccs46    Successfully assigned benkz/gateway-67f694d755-ccs46 to vm-218-62-tencentos
4m18s       Normal    Scheduled           pod/gateway-78665454cb-xvf2z    Successfully assigned benkz/gateway-78665454cb-xvf2z to vm-218-62-tencentos
4m24s       Warning   FailedScheduling    pod/gateway-78665454cb-xvf2z    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m24s       Normal    Scheduled           pod/gateway-78665454cb-5r8jq    Successfully assigned benkz/gateway-78665454cb-5r8jq to vm-218-62-tencentos
4m30s       Warning   FailedScheduling    pod/gateway-78665454cb-5r8jq    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
27m         Normal    Scheduled           pod/gateway-df649b778-vbxgh     Successfully assigned benkz/gateway-df649b778-vbxgh to vm-218-62-tencentos
16m         Normal    Scheduled           pod/gateway-67f694d755-t5d9l    Successfully assigned benkz/gateway-67f694d755-t5d9l to vm-218-62-tencentos
13m         Warning   FailedScheduling    pod/gateway-68ffbd74bc-q85l7    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
