LAST SEEN   TYPE      REASON              OBJECT                          MESSAGE
20m         Warning   FailedScheduling    pod/gateway-df649b778-z6lkg     0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
3m7s        Normal    Scheduled           pod/gateway-796c94d8cf-k2fft    Successfully assigned benkz/gateway-796c94d8cf-k2fft to vm-218-62-tencentos
20m         Normal    Scheduled           pod/gateway-df649b778-5k9kg     Successfully assigned benkz/gateway-df649b778-5k9kg to vm-218-62-tencentos
20m         Warning   FailedScheduling    pod/gateway-df649b778-5k9kg     0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
9m5s        Normal    Scheduled           pod/gateway-67f694d755-t5d9l    Successfully assigned benkz/gateway-67f694d755-t5d9l to vm-218-62-tencentos
9m10s       Warning   FailedScheduling    pod/gateway-67f694d755-t5d9l    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
17m         Normal    Scheduled           pod/gateway-7b56658758-nrglc    Successfully assigned benkz/gateway-7b56658758-nrglc to vm-218-62-tencentos
12m         Warning   FailedScheduling    pod/gateway-5db47b46f4-jlzwd    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
12m         Normal    Scheduled           pod/gateway-5db47b46f4-jlzwd    Successfully assigned benkz/gateway-5db47b46f4-jlzwd to vm-218-62-tencentos
17m         Warning   FailedScheduling    pod/gateway-7b56658758-nrglc    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
17m         Normal    Scheduled           pod/gateway-7b56658758-7xgqw    Successfully assigned benkz/gateway-7b56658758-7xgqw to vm-218-62-tencentos
17m         Warning   FailedScheduling    pod/gateway-7b56658758-7xgqw    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
17m         Normal    Scheduled           pod/gateway-7b56658758-2jk44    Successfully assigned benkz/gateway-7b56658758-2jk44 to vm-218-62-tencentos
17m         Warning   FailedScheduling    pod/gateway-7b56658758-2jk44    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
12m         Warning   FailedScheduling    pod/gateway-5db47b46f4-nzt6v    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
12m         Normal    Scheduled           pod/gateway-5db47b46f4-nzt6v    Successfully assigned benkz/gateway-5db47b46f4-nzt6v to vm-218-62-tencentos
20m         Warning   FailedScheduling    pod/gateway-df649b778-vbxgh     0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
20m         Normal    Scheduled           pod/gateway-df649b778-z6lkg     Successfully assigned benkz/gateway-df649b778-z6lkg to vm-218-62-tencentos
2m55s       Normal    Scheduled           pod/gateway-796c94d8cf-tgdtc    Successfully assigned benkz/gateway-796c94d8cf-tgdtc to vm-218-62-tencentos
3m          Warning   FailedScheduling    pod/gateway-796c94d8cf-tgdtc    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
12m         Normal    Scheduled           pod/gateway-5db47b46f4-84npl    Successfully assigned benkz/gateway-5db47b46f4-84npl to vm-218-62-tencentos
12m         Warning   FailedScheduling    pod/gateway-5db47b46f4-84npl    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
20m         Normal    Scheduled           pod/gateway-df649b778-vbxgh     Successfully assigned benkz/gateway-df649b778-vbxgh to vm-218-62-tencentos
3m12s       Warning   FailedScheduling    pod/gateway-796c94d8cf-k2fft    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
3m1s        Normal    Scheduled           pod/gateway-796c94d8cf-hgjcg    Successfully assigned benkz/gateway-796c94d8cf-hgjcg to vm-218-62-tencentos
3m6s        Warning   FailedScheduling    pod/gateway-796c94d8cf-hgjcg    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6m14s       Warning   FailedScheduling    pod/gateway-68ffbd74bc-bv8lh    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
9m22s       Warning   FailedScheduling    pod/gateway-67f694d755-5ktns    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
9m17s       Normal    Scheduled           pod/gateway-67f694d755-5ktns    Successfully assigned benkz/gateway-67f694d755-5ktns to vm-218-62-tencentos
6m8s        Normal    Scheduled           pod/gateway-68ffbd74bc-bv8lh    Successfully assigned benkz/gateway-68ffbd74bc-bv8lh to vm-218-62-tencentos
12m         Normal    Scheduled           pod/k6-564856b977-zv6sz         Successfully assigned benkz/k6-564856b977-zv6sz to vm-218-62-tencentos
6m2s        Normal    Scheduled           pod/gateway-68ffbd74bc-s9v8s    Successfully assigned benkz/gateway-68ffbd74bc-s9v8s to vm-218-62-tencentos
6m8s        Warning   FailedScheduling    pod/gateway-68ffbd74bc-s9v8s    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
12m         Normal    Scheduled           pod/k6-564856b977-nmk8c         Successfully assigned benkz/k6-564856b977-nmk8c to vm-218-62-tencentos
9m16s       Warning   FailedScheduling    pod/gateway-67f694d755-ccs46    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
9m11s       Normal    Scheduled           pod/gateway-67f694d755-ccs46    Successfully assigned benkz/gateway-67f694d755-ccs46 to vm-218-62-tencentos
6m15s       Normal    Scheduled           pod/gateway-68ffbd74bc-q85l7    Successfully assigned benkz/gateway-68ffbd74bc-q85l7 to vm-218-62-tencentos
6m20s       Warning   FailedScheduling    pod/gateway-68ffbd74bc-q85l7    0/1 nodes are available: 1 Insufficient cpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
20m         Normal    ScalingReplicaSet   deployment/gateway              Scaled up replica set gateway-df649b778 from 0 to 1
20m         Normal    ScalingReplicaSet   deployment/gateway              Scaled down replica set gateway-854fdc6b45 from 3 to 2
20m         Normal    SuccessfulCreate    replicaset/gateway-df649b778    Created pod: gateway-df649b778-vbxgh
20m         Normal    Killing             pod/gateway-854fdc6b45-qk9wb    Stopping container gateway
20m         Normal    SuccessfulDelete    replicaset/gateway-854fdc6b45   Deleted pod: gateway-854fdc6b45-qk9wb
20m         Normal    ScalingReplicaSet   deployment/gateway              Scaled up replica set gateway-df649b778 from 1 to 2
20m         Normal    SuccessfulDelete    replicaset/gateway-854fdc6b45   Deleted pod: gateway-854fdc6b45-glrdl
20m         Normal    Pulled              pod/gateway-df649b778-vbxgh     Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
20m         Normal    Created             pod/gateway-df649b778-vbxgh     Container created
20m         Normal    Started             pod/gateway-df649b778-vbxgh     Container started
20m         Warning   Unhealthy           pod/gateway-df649b778-vbxgh     Readiness probe failed: Get "http://10.42.0.224:9302/readyz": dial tcp 10.42.0.224:9302: connect: connection refused
20m         Normal    SuccessfulCreate    replicaset/gateway-df649b778    Created pod: gateway-df649b778-z6lkg
20m         Normal    ScalingReplicaSet   deployment/gateway              Scaled down replica set gateway-854fdc6b45 from 2 to 1
20m         Normal    Killing             pod/gateway-854fdc6b45-glrdl    Stopping container gateway
20m         Normal    Pulled              pod/gateway-df649b778-z6lkg     Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
20m         Normal    Created             pod/gateway-df649b778-z6lkg     Container created
20m         Normal    Killing             pod/gateway-854fdc6b45-pr7sd    Stopping container gateway
20m         Normal    ScalingReplicaSet   deployment/gateway              Scaled up replica set gateway-df649b778 from 2 to 3
20m         Normal    Started             pod/gateway-df649b778-z6lkg     Container started
20m         Warning   Unhealthy           pod/gateway-df649b778-z6lkg     Readiness probe failed: Get "http://10.42.0.225:9302/readyz": dial tcp 10.42.0.225:9302: connect: connection refused
20m         Normal    SuccessfulCreate    replicaset/gateway-df649b778    Created pod: gateway-df649b778-5k9kg
20m         Normal    SuccessfulDelete    replicaset/gateway-854fdc6b45   Deleted pod: gateway-854fdc6b45-pr7sd
20m         Normal    ScalingReplicaSet   deployment/gateway              Scaled down replica set gateway-854fdc6b45 from 1 to 0
20m         Normal    Created             pod/gateway-df649b778-5k9kg     Container created
20m         Normal    Pulled              pod/gateway-df649b778-5k9kg     Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
20m         Warning   Unhealthy           pod/gateway-df649b778-5k9kg     Readiness probe failed: Get "http://10.42.0.226:9302/readyz": dial tcp 10.42.0.226:9302: connect: connection refused
20m         Normal    Started             pod/gateway-df649b778-5k9kg     Container started
17m         Normal    Killing             pod/gateway-df649b778-z6lkg     Stopping container gateway
17m         Normal    ScalingReplicaSet   deployment/gateway              Scaled down replica set gateway-df649b778 from 3 to 2
17m         Normal    ScalingReplicaSet   deployment/gateway              Scaled up replica set gateway-7b56658758 from 0 to 1
17m         Normal    SuccessfulDelete    replicaset/gateway-df649b778    Deleted pod: gateway-df649b778-z6lkg
17m         Normal    SuccessfulCreate    replicaset/gateway-7b56658758   Created pod: gateway-7b56658758-nrglc
17m         Normal    ScalingReplicaSet   deployment/gateway              Scaled down replica set gateway-df649b778 from 2 to 1
17m         Normal    Pulled              pod/gateway-7b56658758-nrglc    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
17m         Normal    Killing             pod/gateway-df649b778-5k9kg     Stopping container gateway
17m         Normal    Created             pod/gateway-7b56658758-nrglc    Container created
17m         Normal    Started             pod/gateway-7b56658758-nrglc    Container started
17m         Normal    SuccessfulCreate    replicaset/gateway-7b56658758   Created pod: gateway-7b56658758-2jk44
17m         Warning   Unhealthy           pod/gateway-7b56658758-nrglc    Readiness probe failed: Get "http://10.42.0.227:9302/readyz": dial tcp 10.42.0.227:9302: connect: connection refused
17m         Normal    SuccessfulDelete    replicaset/gateway-df649b778    Deleted pod: gateway-df649b778-5k9kg
17m         Normal    Pulled              pod/gateway-7b56658758-2jk44    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
17m         Normal    Killing             pod/gateway-df649b778-vbxgh     Stopping container gateway
17m         Normal    SuccessfulDelete    replicaset/gateway-df649b778    Deleted pod: gateway-df649b778-vbxgh
17m         Normal    SuccessfulCreate    replicaset/gateway-7b56658758   Created pod: gateway-7b56658758-7xgqw
17m         Warning   Unhealthy           pod/gateway-7b56658758-2jk44    Readiness probe failed: Get "http://10.42.0.228:9302/readyz": dial tcp 10.42.0.228:9302: connect: connection refused
17m         Normal    Started             pod/gateway-7b56658758-2jk44    Container started
17m         Normal    Created             pod/gateway-7b56658758-2jk44    Container created
17m         Warning   Unhealthy           pod/gateway-7b56658758-7xgqw    Readiness probe failed: Get "http://10.42.0.229:9302/readyz": dial tcp 10.42.0.229:9302: connect: connection refused
17m         Normal    Started             pod/gateway-7b56658758-7xgqw    Container started
17m         Normal    Created             pod/gateway-7b56658758-7xgqw    Container created
17m         Normal    Pulled              pod/gateway-7b56658758-7xgqw    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
12m         Normal    ScalingReplicaSet   deployment/k6                   Scaled down replica set k6-67778c768f from 1 to 0
12m         Normal    SuccessfulDelete    replicaset/k6-67778c768f        Deleted pod: k6-67778c768f-n7f8d
12m         Normal    Killing             pod/k6-67778c768f-n7f8d         Stopping container k6
12m         Normal    ScalingReplicaSet   deployment/k6                   Scaled up replica set k6-564856b977 from 0 to 1
12m         Normal    SuccessfulCreate    replicaset/k6-564856b977        Created pod: k6-564856b977-nmk8c
12m         Normal    Started             pod/k6-564856b977-nmk8c         Container started
12m         Normal    Pulled              pod/k6-564856b977-zv6sz         Container image "benkz/k6:capacity-100-v2" already present on machine and can be accessed by the pod
12m         Normal    Created             pod/k6-564856b977-nmk8c         Container created
12m         Normal    Created             pod/k6-564856b977-zv6sz         Container created
12m         Normal    SuccessfulCreate    replicaset/k6-564856b977        Created pod: k6-564856b977-zv6sz
12m         Normal    ScalingReplicaSet   deployment/k6                   Scaled up replica set k6-564856b977 from 1 to 2
12m         Normal    Pulled              pod/k6-564856b977-nmk8c         Container image "benkz/k6:capacity-100-v2" already present on machine and can be accessed by the pod
12m         Normal    Started             pod/k6-564856b977-zv6sz         Container started
12m         Normal    SuccessfulCreate    replicaset/gateway-5db47b46f4   Created pod: gateway-5db47b46f4-nzt6v
12m         Normal    SuccessfulDelete    replicaset/gateway-7b56658758   Deleted pod: gateway-7b56658758-nrglc
12m         Normal    Killing             pod/gateway-7b56658758-nrglc    Stopping container gateway
12m         Normal    Pulled              pod/gateway-5db47b46f4-nzt6v    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
12m         Normal    Created             pod/gateway-5db47b46f4-nzt6v    Container created
12m         Normal    Started             pod/gateway-5db47b46f4-nzt6v    Container started
12m         Warning   Unhealthy           pod/gateway-5db47b46f4-nzt6v    Readiness probe failed: Get "http://10.42.0.232:9302/readyz": dial tcp 10.42.0.232:9302: connect: connection refused
12m         Normal    SuccessfulDelete    replicaset/gateway-7b56658758   Deleted pod: gateway-7b56658758-2jk44
12m         Normal    Killing             pod/gateway-7b56658758-2jk44    Stopping container gateway
12m         Normal    SuccessfulCreate    replicaset/gateway-5db47b46f4   Created pod: gateway-5db47b46f4-jlzwd
12m         Normal    Created             pod/gateway-5db47b46f4-jlzwd    Container created
12m         Normal    Started             pod/gateway-5db47b46f4-jlzwd    Container started
12m         Warning   Unhealthy           pod/gateway-5db47b46f4-jlzwd    Readiness probe failed: Get "http://10.42.0.233:9302/readyz": dial tcp 10.42.0.233:9302: connect: connection refused
12m         Normal    Pulled              pod/gateway-5db47b46f4-jlzwd    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
12m         Normal    Killing             pod/gateway-7b56658758-7xgqw    Stopping container gateway
12m         Normal    SuccessfulDelete    replicaset/gateway-7b56658758   Deleted pod: gateway-7b56658758-7xgqw
12m         Normal    SuccessfulCreate    replicaset/gateway-5db47b46f4   Created pod: gateway-5db47b46f4-84npl
12m         Normal    Pulled              pod/gateway-5db47b46f4-84npl    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
12m         Normal    Created             pod/gateway-5db47b46f4-84npl    Container created
12m         Normal    Started             pod/gateway-5db47b46f4-84npl    Container started
12m         Warning   Unhealthy           pod/gateway-5db47b46f4-84npl    Readiness probe failed: Get "http://10.42.0.234:9302/readyz": dial tcp 10.42.0.234:9302: connect: connection refused
9m23s       Normal    Killing             pod/gateway-5db47b46f4-jlzwd    Stopping container gateway
9m23s       Normal    SuccessfulCreate    replicaset/gateway-67f694d755   Created pod: gateway-67f694d755-5ktns
9m23s       Normal    SuccessfulDelete    replicaset/gateway-5db47b46f4   Deleted pod: gateway-5db47b46f4-jlzwd
9m18s       Warning   Unhealthy           pod/gateway-67f694d755-5ktns    Readiness probe failed: Get "http://10.42.0.235:9302/readyz": dial tcp 10.42.0.235:9302: connect: connection refused
9m18s       Normal    Started             pod/gateway-67f694d755-5ktns    Container started
9m18s       Normal    Created             pod/gateway-67f694d755-5ktns    Container created
9m18s       Normal    Pulled              pod/gateway-67f694d755-5ktns    Container image "benkz/gateway:k3s" already present on machine and can be accessed by the pod
9m17s       Normal    SuccessfulDelete    replicaset/gateway-5db47b46f4   Deleted pod: gateway-5db47b46f4-nzt6v
9m17s       Normal    Killing             pod/gateway-5db47b46f4-nzt6v    Stopping container gateway
9m17s       Normal    SuccessfulCreate    replicaset/gateway-67f694d755   Created pod: gateway-67f694d755-ccs46
9m11s       Normal    Created             pod/gateway-67f694d755-ccs46    Container created
9m11s       Warning   Unhealthy           pod/gateway-67f694d755-ccs46    Readiness probe failed: Get "http://10.42.0.236:9302/readyz": dial tcp 10.42.0.236:9302: connect: connection refused
9m11s       Normal    SuccessfulDelete    replicaset/gateway-5db47b46f4   Deleted pod: gateway-5db47b46f4-84npl
9m11s       Normal    Started             pod/gateway-67f694d755-ccs46    Container started
9m11s       Normal    SuccessfulCreate    replicaset/gateway-67f694d755   Created pod: gateway-67f694d755-t5d9l
